Key,english
RedcliffChestArmorDesc,"A chestplate issued to high ranking soldiers of the redcliff kingdom."
PurpleHeadCharm,"[C501FC]Purple Head Charm[-]"
PurpleHeadCharmDesc,"A magical charm worn by behemoths that holds great power."
perkPurpleHeadCharmName,"Purple Head Charm"
perkPurpleHeadCharmDesc,"Gained by wearing a purple head charm."
perkPurpleHeadCharm1Desc,"Increase wellness max by 50.\nIncreases defense and fire defense by 5."
HydraulicPressCraft,"Hydraulic Press"
BiggerCatalystPOI,"70 Catalyst"
BiggerCatalystCraft,"70 Catalyst"
modMotorToolV8,"[DECEA3]V8 Engine Conversion[-]"
modMotorToolV8Desc,"Upgrade your auger or chainsaw with a V8 engine."
HealthShot,"[DECEA3]Filled Needle[-]"
HealthShotDesc,"Probably filled with health."
buffHealthShotDesc,"Filled Needle"
buffHealthShotLongDesc,"Regen 15 hp/second"
ShawBurger,[DECEA3]Cheezburger[-]
ShawBurgerDesc,"U can has cheezburger!\nT1 Food 10 Wellness 550 Cap."
buffShawBurgerDesc,"Cheezburger"
buffShawBurgerLongDesc,"10 Stamina Regen 5 Defense 5 Fire Defense."
ShawBloxyCola,[DECEA3]Bloxy Cola[-]
ShawBloxyColaDesc,"Warning: Bloxy Cola may be habit-forming.\nT1 Drink 10 Wellness 550 Cap."
buffShawBloxyColaDesc,"Bloxy Cola"
buffShawBloxyColaLongDesc,"10 Stamina Regen 5 Defense 5 Fire Defense."
ShawCake,[DECEA3]Cake[-]
ShawCakeDesc,"The cake is the truth.\nT2 Food 20 Wellness 700 Cap."
buffShawCakeDesc,"Cake"
buffShawCakeLongDesc,"30 Stamina Regen 15 Defense 15 Fire Defense 5 Health Regen."
ShawBloxiade,[DECEA3]Bloxiade[-]
ShawBloxiadeDesc,"As a Robloxian athlete, I know how important it is to stay hydrated. I like to stay hydrated with Bloxiade. I think it makes me run faster, and my coach does too!\nT2 Drink 20 Wellness 700 Cap."
buffShawBloxiadeDesc,"Bloxiade"
buffShawBloxiadeLongDesc,"30 Stamina Regen 15 Defense 15 Fire Defense 5 Health Regen."
ShawTaco,[DECEA3]Taco[-]
ShawTacoDesc,"ROBLOX is built on tacos from Chavez. Also Pancho Villa!\nT2 Food 20 Wellness 700 Cap."
buffShawTacoDesc,"Taco"
buffShawTacoLongDesc,"20 Stamina Regen 10 Defense 10 Fire Defense 1 Health Regen."
ShawWitchesBrew,[DECEA3]Witches Brew[-]
ShawWitchesBrewDesc,"Do the Brew! Shipped direct from the Haunted Hill soda company. Warning: may cause freakish deformities. Warning: may contain actual witches.\nT2 Drink 20 Wellness 700 Cap."
buffShawWitchesBrewDesc,"Witches Brew"
buffShawWitchesBrewLongDesc,"20 Stamina Regen 10 Defense 10 Fire Defense 1 Health Regen."
buffSwordMasterShreadDesc,"Swordmaster Power"
buffSwordMasterShreadLongDesc,"Every hit gives power and kills give three.\nUse five power for one power attack.\n\nGod Swords give four power on kill.\nCookie Blade gives five power on kill."
perkShawGamestage1Name,"Big Heads"
perkShawGamestage1Desc,"Starts after eating a monkey fruit."
perkShawGamestage1Desc2,"Make the 70 Catalyst to create things."
perkShawGamestage2Name,"Enraged Big Heads"
perkShawGamestage2Desc,"Starts after defeating the Riot Commander."
perkShawGamestage2Desc2,"Collect sheckles and mine cookietonium."
ShawSkillBookAll,"[DECEA3]Shaws Mastery[-]"
ShawSkillBookAllDesc,"Learn how to do basic things fast.\nSets all DF action skills to level 100."
lblCategoryBiggerCatalyst,"Catalyst"
EssenceKeyWealth,"Shekelstein Key"
EssenceKeyWealthDesc,"Used to get sheckles."
buffBigZombieBossSpawnName,"Head Power"
buffBigZombieBossSpawnDesc,"Can be used to summon mega chimps."
EssenceBossT1,"[DECEA3]Riot Orb"
EssenceBossT1Desc,"Summons the Riot Commander"
EssenceKeyWealthEnter,"Shekelstein Master Key"
EssenceKeyWealthEnterDesc,"Used to enter Shekelstein's house."
Sheckle,"[FFCC01]Sheckle[-]"
SheckleDesc,"Used by happy merchant."
CookieBlade,"[0000ff]Cookie Blade[-]"
CookieBladeDesc,"A razor sharp blade made from cookietonium. Holding this blade will increase your defense and fire defense."
BigHeadForge,"[FFCC01]Big Blast Furnace"
BigHeadForgeDesc,"Burns hot enough to melt cookietonium."
BigHeadForgeCraft,"Big Head Blast Furnace"
BigAssembler,"[FFCC01]Big Assembler"
BigAssemblerDesc,"Assembles complex materials."
BigAssemblerCraft,"Big Assembler"
BigFoodMaker,"[FFCC01]Big Laser Cooker"
BigFoodMakerDesc,"Cooks breathtaking foods and other powerful consumables."
BigFoodMakerCraft,"Big Laser Cooker"
KingThrone,Throne
ShawPaintingVariantHelper,Shaw Paintings
ShawPaintingVariantHelperDesc,"Used to place paintings"
ShawCannon,"[FE9900]Cannon"
ShawCannonDesc,"Cannons are awesome!\nFires Cannon Balls."
CannonBall1,"[DECEA3]25 LB Cannonball"
CannonBall1Desc,"The smallest and cheapest cannonball."
CannonBall2,"[DECEA3]50 LB Cannonball"
CannonBall2Desc,"A decent-size cannonball."
CannonBall3,"[DECEA3]100 LB Cannonball"
CannonBall3Desc,"The largest and most expensive cannonball."
CannonBall4,"[FF0000]Redcliff 300 LB Cannonball"
CannonBall4Desc,"A rare cannonball created from the redcliff kingdom."
CannonBall5,"[0000FF]Shaw's Heavy Shot"
CannonBall5Desc,"An extremely large cannonball created by Shaw."
modGunRechargableBatteryV2,"[DECEA3]Overcharged Battery"
modGunRechargableBatteryV2Desc,"An attachable battery that not only recharges your energy cells but also over charges them.\nIncreases weapon firerate by 25%."
DoomwoodClub,"[FE9900]Darkie Demolisher"
DoomwoodClubDesc,"An extremely large wooden club with spikes fit into it, enchanted with the power of the redcliff kingdom. Able to harvest energy from those it kills to perform empowered attacks. Wielding this club requires immense strength and skill."
buffDoomwoodClubDesc,"[FE9900]Darkie Demolisher Energy"
buffDoomwoodClubLongDesc,"Power attacks require atleast 10 energy but become stronger at 25, 50, and 100 energy.\nHitting power attacks recharges a large amount of stamina."
buffDoomwoodClubCharge50PlayerDesc,"[FE9900]Darkie Demolisher Rage"
buffDoomwoodClubCharge50PlayerLongDesc,"Your next few attacks are empowered."
perkASDoomwoodClubName,"Darkie Demolisher"
perkASDoomwoodClubDesc,"Increased by using the Darkie Demolisher.\n\nCurrent XP/XP to Next Level: {cvar($PerkDoomwoodClubXP:0)}/{cvar($PerkDoomwoodClubXPTarget:0)}"
perkASDoomwoodClub1Desc,"Initial Training"
perkASDoomwoodClub1LongDesc,"A basic familiarity with the Darkie Demolisher allows you to harvest energy from every hit and reduces stamina cost by 33%.\n\nCompletion of this training will leave you unable to use other legendary weapons."
perkASDoomwoodClub2Desc,"Crippling Blows"
perkASDoomwoodClub2LongDesc,"An advanced swing technique allows you to cripple zombies.\nBasic attacks cause bleeding that deals damage over time and causes targets take 10% more damage.\nPower attacks cripple zombies causing them take 50% more damage."
perkASDoomwoodClub3Desc,"Redcliff Warrior"
perkASDoomwoodClub3LongDesc,"Learn the combat techniques of the Redcliff Kingdom's Warriors.\nIncrease the damage of basic attacks by 25%.\nWhen a bleeding or crippled zombie dies near you gain one energy.\nHolding the Darkie Demolisher reduces melee damage taken by 30%.\nGain the ability to build up rage, every power attack kill gives five, normal attacks give one, when you take melee damage gain five.\nRage increases swing speed, base damage, fire defense, and grants healing on direct power attack kills."
perkASDoomwoodClub4Desc,"Redcliff Knight"
perkASDoomwoodClub4LongDesc,"TODO"
perkASDoomwoodClub5Desc,"Redcliff Champion"
perkASDoomwoodClub5LongDesc,"TODO"
perkASCannonName,"Cannoneer"
perkASCannonDesc,"Increased by using the Cannon.\n\nCurrent XP/XP to Next Level: {cvar($PerkASCannonXP:0)}/{cvar($PerkASCannonXPTarget:0)}"
perkASCannon1Desc,"Rapid Reload"
perkASCannon1LongDesc,"Increases your base reload speed by 10%.\nTaking damage increases your reload speed by 50%."
perkASCannon2Desc,"Cannon Fury"
perkASCannon2LongDesc,"Gain fury from every kill while holding a cannon.\nGain fury from every hit you take while holding a cannon.\nFury increases reload speed and movespeed, but fades over time, more fury causes faster decay.\nFury buffs cap at double speed but can be stacked further for a buffer."
perkASCannon3Desc,"Artillery Commander"
perkASCannon3LongDesc,"Gain power from every kill while holding a cannon.\nWhen you reach 25 power inspire your allies.\nNearbye allies gain increased stamina regen, defense, fire defense, and movespeeed.\nWhile inspired cannonballs deal 50% more damage, cannon fury quickly builds, and gain 10 health regen."
perkASCannon4Desc,"Redcliff General"
perkASCannon4LongDesc,"TODO"
perkASCannon5Desc,"Redcliff King"
perkASCannon5LongDesc,"TODO"
buffShawCannonReloadBuffDesc,"[FE9900]Rapid Reload"
buffShawCannonReloadBuffLongDesc,"Reload faster."
buffShawCannonRageBuffDesc,"[FE9900]Cannon Fury"
buffShawCannonRageBuffLongDesc,"Fury increases reload speed and movespeed."
buffShawCannonCommanderBuffDesc,"[FE9900]Artillery Commander Charge"
buffShawCannonCommanderBuffLongDesc,"At 25 charge buff your allies."
buffShawCannonCommanderBuffEffectDesc,"[FE9900]Artillery Commander Inspire"
buffShawCannonCommanderBuffEffectLongDesc,"Your inspired by an artillery commander granting you 10 defense, fire defense, 50 stamina regen, and 25% increased movespeed."
TechMinigun,"[FE9900]Behemoth Blaster"
TechMinigunDesc,"A huge rotary cannon capable of extreme firepower and ammo consumption. Built to be wielded by a behemoth the huge weight and recoil makes it difficult to use at your size."
perkASTechMinigunName,"Commando"
perkASTechMinigunDesc,"Increased by using the Behemoth Blaster.\n\nCurrent XP/XP to Next Level: {cvar($PerkASTechMinigunXP:0)}/{cvar($PerkASTechMinigunXPTarget:0)}"
perkASTechMinigun1Desc,"Minigun Mastery"
perkASTechMinigun1LongDesc,"A basic mastery of the Behemoth Blaster increases magazine size by 50% and increases damage by 25%.\n\nCompletion of this training will leave you unable to use other legendary weapons."
perkASTechMinigun2Desc,"Overcharged Reactor"
perkASTechMinigun2LongDesc,"Greatly increases the velocity of rounds fired allowing them to pierce three zombies at once."
perkASTechMinigun3Desc,"Heavy Artillery"
perkASTechMinigun3LongDesc,"Become stronger while holding the Behemoth Blaster.\nHolding the Behemoth Blaster increases defense, fire defense, and reduces melee damage taken by 20%.\nDecreases recoil by 33% and increases damage by 25% and magazine size by an additional 50%.\nEvery hit gives you one stamina.\nIncreases wellness max by 50."
perkASTechMinigun4Desc,"Nitroglycerin Additive"
perkASTechMinigun4LongDesc,"TODO"
perkASTechMinigun5Desc,"Fusion Reactor"
perkASTechMinigun5LongDesc,"TODO"
perkASFoodDrinkName,"Gluttony"
perkASFoodDrinkDesc,"Increased by eating or drinking special foods.\n\nCurrent XP/XP to Next Level: {cvar($PerkASFoodDrinkXP:0)}/{cvar($PerkASFoodDrinkXPTarget:0)}"
perkASFoodDrink1Desc,"High Calorie"
perkASFoodDrink1LongDesc,"As you become familiar with eating these foods your body can extract more energy from them making them last 25% longer.\n\nTo gain xp for this perk you must eat Gluttony Essence."
perkASFoodDrink2Desc,"All You Can Eat"
perkASFoodDrink2LongDesc,"Every food you eat will proc Gluttony buff with a 10 second cooldown. Gluttony buff reduces the cooldown of all abilities (except for the ability itself), gives 30 sword power, and gives 15 defense and fire defense for 20 seconds."
perkASMedsName,"Addict"
perkASMedsDesc,"Increased by using speical healing items.\n\nCurrent XP/XP to Next Level: {cvar($PerkASMedsXP:0)}/{cvar($PerkASMedsXPTarget:0)}"
perkASMeds1Desc,"Junkie"
perkASMeds1LongDesc,"While your healing methods are unconventional they allow for a 25% stronger effect.\n\nTo gain xp for this perk you must use Addict Essence."
perkASMeds2Desc,"Needle Sharing"
perkASMeds2LongDesc,"When under the effect of a filled needle every kill extends the duration by 10.\nNutrient needles can increase your wellness to 565."
ASFoodDrinkEssence,"[DECEA3]Gluttony Essence"
ASFoodDrinkEssenceDesc,"Allows you to gain XP in the Gluttony perk.\n\nEating the Gluttony Essence prevents you from eating the Addict Essence."
ASMedsEssence,"[DECEA3]Addict Essence"
ASMedsEssenceDesc,"Allows you to gain XP in the Addict perk.\n\nEating the Addict Essence prevents you from eating the Gluttony Essence."
WellnessShot,"[DECEA3]Nutrient Needle[-]"
WellnessShotDesc,"Probably filled with nutrients."
buffWellnessShotDesc,"Nutrient Needle"
buffWellnessShotLongDesc,"Gain 1 wellness every 10 seconds up to 550."
KeemstarAlexV2,"[FF0000]Keemstar Core"
KeemstarAlexV2Desc,"A more stable form of keemstar that produces more power."
Steven,"[FF0000]Steven"
StevenDesc,"Steven here"
GoldCoin,"Blank Sheckle"
GoldCoinDesc,"A gold coin that is ready to be processed into a sheckle."
BigHeadBlessed,[FFCC01]Blessed Big Head[-]
BigHeadBlessedDesc,"A bighead that has increased in size after absorbing essence."
GoldDewKit,"[FF0000]Gun Upgrade Kit"
GoldDewKitDesc,"A kit of parts used to upgrade a gun."
BiggestPickaxe,[0000FF]70 Harvester
BiggestPickaxeDesc,"Created by Cardriver70 to quickly harvest cookietonium but can be still be used with other types of resources."
BiggestPickaxeGolden,[FFCC01]Golden 70 Harvester
BiggestPickaxeGoldenDesc,"A 70 Harvester enchanted with the power of a magical gold bar."
buffBiggestPickaxeDesc,"70 Harvester Heat"
buffBiggestPickaxeLongDesc,"As you mine ores heat builds up calling in a chimpout."
RedcliffChestArmorT1,"[FF0000]Redcliff Chestplate"
RedcliffChestArmorDesc,"Increases defense, fire defense, and wellness max by 10."
perkRedcliffChestArmorName,"Redcliff Chestplate"
perkRedcliffChestArmorDesc,"Gained by wearing a Redcliff Chestplate."
perkRedcliffChestArmor1Desc,"Increases defense, fire defense, and wellness max by 10."
perkASBiggestPickaxeName,"70 Harvester"
perkASBiggestPickaxeDesc,"Increased by using the 70 Harvester.\n\nCurrent XP/XP to Next Level: {cvar($PerkASBiggestPickaxeXP:0)}/{cvar($PerkASBiggestPickaxeXPTarget:0)}"
perkASBiggestPickaxe1Desc,"Dough Miner"
perkASBiggestPickaxe1LongDesc,"Your an experienced dough miner and can swing the 70 Harvester 25% faster with 50% less stamina."
perkASBiggestPickaxe2Desc,"Chocolate Strike"
perkASBiggestPickaxe2LongDesc,"Each swing has a 10% chance to do 5x damage and give 5x materials."
perkASBiggestPickaxe3Desc,"Cookie Rush"
perkASBiggestPickaxe3LongDesc,"Every Chocolate Strike builds up cookie power and starts a Cookie Rush at 20.\nCookie Rush lasts 10 seconds and gives guaranteed Chocolate Strikes and unlimited stamina."
ShawAK47GoldenMLG,[00FF00]M[-][0000FF]L[-][FF0000]G[-] [FFCC01]Chimp Repellent
ShawAK47GoldenMLGDesc,"Quickscope The Chimpout."
ShawMartiniHenryGoldenMLG,[00FF00]M[-][0000FF]L[-][FF0000]G[-] [FFCC01]Martini Henry
ShawMartiniHenryGoldenMLGDesc,"Quickscope The Savages."
ShawRevolverGoldenMLG,[00FF00]M[-][0000FF]L[-][FF0000]G[-] [FFCC01]Jailbreak Revolver
ShawRevolverGoldenMLGDesc,"Quickscope Some Bacon."
ShawDoubleBarrelShotgunGoldenMLG,[00FF00]M[-][0000FF]L[-][FF0000]G[-] [FFCC01]Sudra Slayer
ShawDoubleBarrelShotgunGoldenMLGDesc,"Quickscope Straight To Africa."
buffBiggestPickaxeT3Desc,"Cookie Charge"
buffBiggestPickaxeT3LongDesc,"Your current charge towards a cookie rush."
buffBiggestPickaxeT3ReadyDesc,"Cookie Rush"
buffBiggestPickaxeT3ReadyLongDesc,"Gain guaranteed Chocolate Strikes and unlimited stamina."
CommanderFlag,"[FFCC01]Commanders Flag"
CommanderFlagDesc,"A flag droped by a redcliff commander.\nYou could use it to lead your allies."
perkCommanderFlagName,"Commanders Flag"
perkCommanderFlagDesc,"Inspire your allies with the flag."
perkCommanderFlag1Desc,"Gained by planting a flag onto your back.\nWhen hurt under 50% hp inspire all allies near you.\nInspire lasts for 15 seconds and has a 2.5 minute cooldown.\nInspire grants 25% movespeed 15 health regen and charges any item your holding.\nIncreases stamina regen by 10."
buffCommanderFlagEffectDesc,"[FFCC01]Commanders Flag"
buffCommanderFlagEffectLongDesc,"Inspired by a commander for a short time."
buffCommanderFlagCooldownDesc,"Commanders Flag Recharge"
buffCommanderFlagCooldownLongDesc,"You must wait before using the Commanders Flag again."
HealthAutoInjector,"[C501FC]Fentanyl Reactor"
HealthAutoInjectorDesc,"The reactor core that powers riot droids."
perkHealthAutoInjectorName,"Fentanyl Reactor"
perkHealthAutoInjectorDesc,"Injects you with fent when hurt."
perkHealthAutoInjector1Desc,"Gained by implating a Fentanyl Reactor in your heart.\nWhen hurt under 75% hp or 25% hp will proc reactor buff that heals you quickly and gives stamina.Both buffs also quickly charge any item your holding.\n2.5 minute cooldown on 75% proc and 10 minute cooldown on 25% proc.\nIncreases wellness max by 15 and health regen by 1."
buffHealthAutoInjectorHealDesc,"[C501FC]Fentanyl Reactor"
buffHealthAutoInjectorHealLongDesc,"Repairs damage to your body and gives you energy."
buffHealthAutoInjectorCooldownDesc,"Fentanyl Reactor Recharge"
buffHealthAutoInjectorCooldownLongDesc,"The Fentanyl Reactor must recharge before assisting you again."
buffHealthAutoInjectorHealV2Desc,"[C501FC]Overcharged Fentanyl Reactor"
buffHealthAutoInjectorHealV2LongDesc,"Extremely quickly repairs damage to your body and gives you energy."
buffHealthAutoInjectorCooldownV2Desc,"Overcharged Fentanyl Reactor Recharge"
buffHealthAutoInjectorCooldownV2LongDesc,"The Fentanyl Reactor must recharge before assisting you again."
buffDoomwoodClubRageDesc,"[FE9900]Darkie Demolisher Rage"
buffDoomwoodClubRageLongDesc,"Rage increases stats but fades over time."
buffDoomwoodClubRageHealingDesc,"[00FF00]Darkie Demolisher Healing"
buffDoomwoodClubRageHealingLongDesc,"Your healing from enraged kills.\nFades at 10/s when at full hp."
DewCanReactor,"[00FF00]Tactical Mountain Dew"
DewCanReactorDesc,"Take a drink when you need it most."
perkDewCanReactorName,"Tactical Mountain Dew"
perkDewCanReactorDesc,"Mountain Dew keeps you fighting longer."
perkDewCanReactor1Desc,"Every hit you take has a 25% chance to proc Mountain Dew buff with a 30 second cooldown.\nRegens health and stamina and charges the item your holding over time.\nIncreases wellness max by 25."
buffDewCanReactorEffectDesc,"[00FF00]Tactical Mountain Dew"
buffDewCanReactorEffectLongDesc,"Mountain Dew flows through your body making you stronger."
buffDewCanReactorCooldownDesc,"Tactical Mountain Dew Recharge"
buffDewCanReactorCooldownLongDesc,"You must wait before using the Mountain Dew again."
buffASFoodDrinkT2EffectDesc,"[DECEA3]Gluttony"
buffASFoodDrinkT2EffectLongDesc,"All the eating is making your stronger."
buffASFoodDrinkT2CooldownDesc,"Gluttony Recharge"
buffASFoodDrinkT2CooldownLongDesc,"You must wait before Gluttony can proc again."
ShawAmmoMinigunT1,"[DECEA3]Compressed Minigun Rounds"
ShawAmmoMinigunT1Desc,"Specialized Ammo used created for the Behemoth Blaster."

EntityLootContainerZedBig,Robuxs Bag
EntityLootContainerZedBigVet,Robuxs Bag
EntityLootContainerZedBehemoth1Big,Behemoth Robuxs Bag
EntityLootContainerZedBigGolden,Golden Robuxs Bag
EntityLootContainerZedBigKnight,Knight Robuxs Bag
EntityLootContainerZedBigMLG,MLG Robuxs Bag
EntityLootContainerZedBoss1,Huge Golden Robuxs Bag

EntityLootContainerZedBigEnraged,Robuxs Bag
EntityLootContainerZedBigVetEnraged,Robuxs Bag
EntityLootContainerZedBehemoth1BigEnraged,Behemoth Robuxs Bag
EntityLootContainerZedBehemoth2BigEnraged,Titan Robuxs Bag
EntityLootContainerZedBigGoldenEnraged,Golden Robuxs Bag
EntityLootContainerZedBigKnightEnraged,Knight Robuxs Bag
EntityLootContainerZedBigMLGEnraged,MLG Robuxs Bag
EntityLootContainerZedBigDroidEnraged,Metal Robuxs Bag
EntityLootContainerZedBigCommanderEnraged,Commander Robuxs Bag

zombieBusinessWomanBig,Big Rioter
zombieCheerleaderBig,Big Rioter
zombieOldTimerBig,Big Rioter
zombieWightBig,Big Rioter
zombieDemolitionBig,Big Rioter
zombieBoeBig,Big Rioter
zombieFemaleFatBig,Big Rioter
zombieJoeBig,Big Rioter
zombieMoeBig,Big Rioter
zombieArleneBig,Big Rioter
zombieLabBig,Big Lab Rioter
zombieDarleneBig,Big Rioter
zombieMarleneBig,Big Rioter
zombieYoBig,Big Rioter
zombieSteveBig,Big Riotere
zombieBusinessManBig,Big Rioter
zombieSpiderBig,Big Rioter
zombieNurseBig,Big Rioter
zombieFatHawaiianBig,Big Rioter
zombieFatCopBig,Big Rioter
zombieMaleHazmatBig,Big Rioter
zombieUtilityWorkerBig,Big Rioter
zombieSoldierBig,Big Rioter
zombieSkateboarderBig,Big Rioter
zombieJanitorBig,Big Rioter
zombieBikerBig,Big Rioter
zombiePartyGirlBig,Big Party Rioter
zombieLumberjackBig,Big Rioter
zombieDoctorFemaleBig,Big Rioter
zombieDoctorMaleBig,Big Rioter
zombieLabMaleBig,Big Lab Rioter
zombieFootballPlayerBig,Big Rioter
zombieBehemoth1Big,Big Behemoth
zombieBehemoth2Big,Big Behemoth
zombieBehemoth3Big,Big Behemoth
zombieBehemoth4Big,Big Behemoth
zombieFemaleFatBigLeader,Big Riot Leader
zombieFemaleFatBigRanger,Big Riot Ranger
zombieMoeBigLeader,Big Riot Leader
zombieMoeBigRanger,Big Riot Ranger
zombieFatHawaiianBigLeader,Big Riot Leader
zombieFatHawaiianBigRanger,Big Riot Ranger
zombieSoldierBigLeader,Big Riot Leader
zombieSoldierBigRanger,Big Riot Ranger
zombieBikerBigLeader,Big Riot Leader
zombieBikerBigRanger,Big Riot Ranger
zombieLumberjackBigLeader,Big Riot Leader
zombieLumberjackBigRanger,Big Riot Ranger
zombieWightBigLeader,Big Riot Leader
zombieFatCopBigRanger,Big Riot Ranger
zombieBusinessManBigGolden,Goldberg Shacklestein
zombieWightBigKnight,Redcliff Knight
zombieMoeBigMLG,MLG Rioter
zombieWightScout,Riot Scout
zombieWightScoutSleeper,Riot Scout
zombieWightBossT1,Riot Comander

zombieBusinessWomanBigEnraged,Enraged Big Rioter
zombieCheerleaderBigEnraged,Enraged Big Rioter
zombieOldTimerBigEnraged,Enraged Big Rioter
zombieWightBigEnraged,Enraged Big Rioter
zombieDemolitionBigEnraged,Enraged Big Rioter
zombieBoeBigEnraged,Enraged Big Rioter
zombieFemaleFatBigEnraged,Enraged Big Rioter
zombieJoeBigEnraged,Enraged Big Rioter
zombieMoeBigEnraged,Enraged Big Rioter
zombieArleneBigEnraged,Enraged Big Rioter
zombieLabBigEnraged,Enraged Big Rioter
zombieDarleneBigEnraged,Enraged Big Rioter
zombieMarleneBigEnraged,Enraged Big Rioter
zombieYoBigEnraged,Enraged Big Rioter
zombieSteveBigEnraged,Enraged Big Rioter
zombieBusinessManBigEnraged,Enraged Big Rioter
zombieSpiderBigEnraged,Enraged Big Rioter
zombieNurseBigEnraged,Enraged Big Rioter
zombieFatHawaiianBigEnraged,Enraged Big Rioter
zombieFatCopBigEnraged,Enraged Big Rioter
zombieMaleHazmatBigEnraged,Enraged Big Rioter
zombieUtilityWorkerBigEnraged,Enraged Big Rioter
zombieSoldierBigEnraged,Enraged Big Rioter
zombieSkateboarderBigEnraged,Enraged Big Rioter
zombieJanitorBigEnraged,Enraged Big Rioter
zombieBikerBigEnraged,Enraged Big Rioter
zombiePartyGirlBigEnraged,Enraged Big Rioter
zombieLumberjackBigEnraged,Enraged Big Rioter
zombieDoctorFemaleBigEnraged,Enraged Big Rioter
zombieDoctorMaleBigEnraged,Enraged Big Rioter
zombieLabMaleBigEnraged,Enraged Big Rioter
zombieFootballPlayerBigEnraged,Enraged Big Rioter
zombieBehemoth1BigEnraged,Enraged Big Behemoth
zombieBehemoth2BigEnraged,Enraged Big Titan
zombieFemaleFatBigLeaderEnraged,Big Enraged Riot Leader
zombieFemaleFatBigRangerEnraged,Big Enraged Riot Ranger
zombieMoeBigLeaderEnraged,Big Enraged Riot Leader
zombieMoeBigRangerEnraged,Big Enraged Riot Ranger
zombieFatHawaiianBigLeaderEnraged,Big Enraged Riot Leader
zombieFatHawaiianBigRangerEnraged,Big Enraged Riot Ranger
zombieSoldierBigLeaderEnraged,Big Enraged Riot Leader
zombieSoldierBigRangerEnraged,Big Enraged Riot Ranger
zombieBikerBigLeaderEnraged,Big Enraged Riot Leader
zombieBikerBigRangerEnraged,Big Enraged Riot Ranger
zombieLumberjackBigLeaderEnraged,Big Enraged Riot Leader
zombieLumberjackBigRangerEnraged,Big Enraged Riot Ranger
zombieWightBigLeaderEnraged,Big Enraged Riot Leader
zombieFatCopBigRangerEnraged,Big Enraged Riot Ranger
zombieBusinessManBigGoldenEnraged,Enraged Goldberg Shacklestein
zombieWightBigKnightEnraged,Enraged Redcliff Knight
zombieBikerBigDroidEnraged,Enraged Riot Droid
zombieWightBigCommanderEnraged,Enraged Redcliff Commander
zombieMoeBigMLGEnraged,Enraged MLG Rioter
zombieWightScoutEnraged,Enraged Riot Scout
zombieWightScoutSleeperEnraged,Enraged Riot Scout
zombieJanitorBigWarriorEnraged,Enraged Redcliff Warrior


EntityLootContainerBehemoth2Big,Big Head
EntityLootContainerZedBigEmpowered,Empowered Big Head
EntityLootContainerBehemoth1BigEmpowered,Empowered Big Head
EntityLootContainerBehemoth2BigEmpowered,Empowered Big Head
EntityLootContainerZedBigger,Bigger Head
EntityLootContainerBehemoth1Bigger,Bigger Head
EntityLootContainerBehemoth2Bigger,Bigger Head
EntityLootContainerZedBiggerEmpowered,Empowered Bigger Head
EntityLootContainerBehemoth1BiggerEmpowered,Empowered Bigger Head
EntityLootContainerBehemoth2BiggerEmpowered,Empowered Bigger Head
EntityLootContainerZedBiggest,Biggest Head
EntityLootContainerBehemoth1Biggest,Biggest Head
EntityLootContainerBehemoth2Biggest,Biggest Head
EntityLootContainerZedBiggestEmpowered,Empowered Biggest Head
EntityLootContainerBehemoth1BiggestEmpowered,Empowered Biggest Head
EntityLootContainerBehemoth2BiggestEmpowered,Empowered Biggest Head
EntityLootContainerBigSuper,Rare Big Head
EntityLootContainerBigBehemothSuper,Rare Big Head
EntityLootContainerScout1,Eyeball


zombieWightScoutScreamer,Eye Scout
zombieWightScoutBoss,Eye Commander
zombieWightScoutBossGuard,Eye Guard
zombieWightScoutBossGuardSmall,Eye Scout

zombieWightBigSuper,Blessed Big Rioter
zombieFemaleFatBigSuper,Blessed Big Rioter
zombieMoeBigSuper,Blessed Big Rioter
zombieFatHawaiianBigSuper,Blessed Big Rioter
zombieSoldierBigSuper,Blessed Big Rioter
zombieBikerBigSuper,Blessed Big Rioter
zombieLumberjackBigSuper,Blessed Big Rioter

zombieWightBigSuper2,Divine Big Rioter
zombieFemaleFatBigSuper2,Divine Big Rioter
zombieMoeBigSuper2,Divine Big Rioter
zombieFatHawaiianBigSuper2,Divine Big Rioter
zombieSoldierBigSuper2,Divine Big Rioter
zombieBikerBigSuper2,Divine Big Rioter
zombieLumberjackBigSuper2,Divine Big Rioter

zombieBehemoth4BigSuper,King Of The Rioters

zombieBusinessWomanBigger,Bigger Rioter
zombieCheerleaderBigger,Bigger Rioter
zombieOldTimerBigger,Bigger Rioter
zombieWightBigger,Bigger Rioter
zombieDemolitionBigger,Bigger Rioter
zombieBoeBigger,Bigger Rioter
zombieFemaleFatBigger,Bigger Rioter
zombieJoeBigger,Bigger Rioter
zombieMoeBigger,Bigger Rioter
zombieArleneBigger,Bigger Rioter
zombieLabBigger,Bigger Rioter
zombieDarleneBigger,Bigger Rioter
zombieMarleneBigger,Bigger Rioter
zombieYoBigger,Bigger Rioter
zombieSteveBigger,Bigger Rioter
zombieBusinessManBigger,Bigger Rioter
zombieSpiderBigger,Bigger Rioter
zombieNurseBigger,Bigger Rioter
zombieFatHawaiianBigger,Bigger Rioter
zombieFatCopBigger,Bigger Rioter
zombieMaleHazmatBigger,Bigger Rioter
